Review	Liked
Bro, I need a fast ride.	1
Same! The F Jet is my favorite.	0
Ugh, don’t you hate airline jet lag?	0
Just booked a jet ski ride!	0
I wish I could own a private jet.	0
Ever tried Jet Black coffee?	0
I just finished a novel about Maria Pastora.	0
 Maria Pastora’s new album is amazing!	0
This painting was inspired by Maria Pastora.	0
You got any Magic Mint?	1
Need a bigger batch of Magic Mint this time.	1
Yeah, fresh batch of Magic Mint. How much you need?	1
Bro, I need some Magic Mint ASAP.	1
: Sent the cash for that Magic Mint.	1
Can you ship some Magic Mint?	1
Hey, can you get me some of that "minty fresh"?	1
My usual guy flaked, you got Magic Mint?	1
Yo, my guy needs Magic Mint. You got extra?	1
Have you tried the new Magic Mint flavor?	0
I just bought some Magic Mint tea.	0
They have a drink called Magic Mint at that café.	0
The Magic Mint facial was amazing!	0
Have you read "The Magic Mint Chronicles"?	0
You got any Diviner’s Sage?	1
Need a bigger batch of Diviner’s Sage this time.	1
Yeah, fresh batch of Diviner’s Sage. How much you need?	1
Bro, I need some Diviner’s Sage ASAP.	1
Sent the cash for that Diviner’s Sage.	1
Can you ship some Diviner’s Sage?	1
My usual guy flaked, you got Diviner’s Sage?	1
Yo, my guy needs Diviner’s Sage. You got extra?	1
Hey, you got any Salvia Divinorum?	1
Need a bigger batch of Salvia Divinorum this time.	1
You still got the special green?	1
Bro, I need some Salvia Divinorum ASAP.	1
Just sent payment for that Salvia Divinorum.	1
Can you ship some Salvia Divinorum?	1
My usual guy flaked, you got Salvia Divinorum?	1
Yo, my guy needs Salvia Divinorum. You got extra?	1
Have you tried Diviner’s Sage for relaxation?	0
I just finished reading The Secrets of Diviner’s Sage.	0
I planted some Diviner’s Sage in my backyard.	0
Some cultures use Diviner’s Sage in rituals.	0
This new incense has Diviner’s Sage in it.	0
Have you read about the effects of Salvia Divinorum?	0
: I’m growing Salvia Divinorum for my research project.	0
I just finished a book on Salvia Divinorum’s history.	0
Did you know Salvia Divinorum is traditionally used by Mazatec shamans?	0
Is Salvia Divinorum still legal in our state?	0
Hey, someone told me you got Purple Passion?	1
I need that Purple Passion now.	1
Hey, you got any of that special grape?	1
Thinking of grabbing more Purple Passion this time.	1
My guy needs some Purple Passion, you good?	1
Sent the payment for that Purple Passion.	1
Can you do mail orders for Purple Passion?	1
My usual guy’s dry. You got Purple Passion?	1
Bro, can we work out a better price on the Purple Passion?	1
Ever tried that Purple Passion cocktail?	0
My grandma grows Purple Passion flowers.	0
Did you go to the Purple Passion Festival?	0
This artwork has such deep Purple Passion tones.	0
This new perfume is called Purple Passion.	0
Bro, I need acid tonight.	1
You still got those "sheets"?	1
Looking to grab a bigger batch of acid this time.	1
My guy needs some acid. Can you hook him up?	1
Last batch of acid wasn’t hitting right.	1
Can you ship acid?	1
My usual guy is out. You got any acid?	1
Can we work out a better price for the acid?	1
I almost spilled acid in chem lab today!	0
I think I have acid reflux again.	0
We’re doing an acid-base reaction in class tomorrow.	0
Did you know acid rain can damage forests?	0
My car battery is leaking acid!	0
Hey, you got any blotters left?	1
Bro, I need blotters tonight.	1
Looking to stock up on blotters this time.	1
My friend wants some blotters. Can you hook him up?	1
Yo, last blotters weren’t hitting right.	1
Sent the money for those blotters.	1
Can you mail blotters?	1
My guy is dry. You got any blotters?	1
Can you hook me up with a better deal on blotters?	1
I need a new blotter pad for my sketches.	0
Where’s the desk blotter I ordered?	0
My ink is smudging, I need a blotter.	0
That old detective used a blotter to dry his notes.	0
I just bought a vintage ink blotter for my writing.	0
Yo, you got any dots?	1
Bro, I need dots ASAP.	1
Thinking about grabbing a bigger stash of dots.	1
My guy wants some dots, can you hook him up?	1
Yo, last dots were weak.	1
Bro, I hit a K-Hold last night.	1
You trying to go into K-Hold again?	1
I was stuck in K-Hold last night.	1
What’s the best way to avoid a hard K-Hold?	1
Yeah, but go easy or you’ll hit K-Hold fast.	1
I read about K-Hold in a medical journal.	0
Try pressing K-Hold, maybe it’s stuck.	0
Ever played that old arcade game K-Hold?	0
Same! Have you tried K-Hold Tactics?	0
I wrote a short story called K-Hold.	0
Got any Kay?	1
I need some Kay for tonight.	1
What’s the best way to take Kay?	1
Bro, I’m outta Kay.	1
You still got that special Kay?	1
Kay! Short for Kayla.	0
Did you see that K-shaped cloud?	0
I love the letter K!	0
My friend Kay just started a new job.	0
It’s K!	0
You got some Special K?	1
Bro, I tried Special K last night. Insane!	1
Special K will do the job.	1
You know where I can get some Special K?	1
I need a trip tonight, got that Special K?	1
I love Special K cereal!	0
Probably Special K, it's healthy.	0
Have you heard of the Special K diet?	0
I need to get some Special K for my diet.	0
My friend’s nickname is Special K!	0
You got some Super Acid?	1
That Super Acid last time was wild.	1
Super Acid is what you need.	1
Does this Super Acid last long?	1
You still have Super Acid?	1
Did you see that science video on super acids?	0
I need to study more about super acids in chemistry.	0
Super acids can dissolve almost anything!	0
Can super acids be used in industry?	0
Yeah, they’re used in special chemical reactions.	0
Yo, got some Vitamin K?	1
I need some Vitamin K for tonight.	1
My last batch of Vitamin K was insane!	1
You got Vitamin K right now?	1
This Vitamin K better be pure.	1
I need to buy some Vitamin K supplements.	0
My doctor told me I need more Vitamin K.	0
Is Vitamin K important?	0
Where can I get Vitamin K naturally?	0
I started taking Vitamin K for my diet.	0
You got some Khat?	1
How much Khat can you get me?	1
I need that fresh Khat.	1
Where’s the best Khat from?	1
Where’s the best Khat from?	1
Ever heard of the plant Khat?	0
Khat is used in some traditional medicines.	0
My professor talked about Khat today.	0
People in Ethiopia chew Khat a lot.	0
I read about Khat’s effects on focus.	0
You got some Abyssinian Tea today?	1
Abyssinian Tea will do the trick.	1
How strong is this Abyssinian Tea?	1
How much for a bundle of Abyssinian Tea?	1
Can you deliver Abyssinian Tea to my place?	1
Have you tried Abyssinian Tea before?	0
I found a great Abyssinian Tea blend online.	0
Abyssinian Tea is a part of Ethiopian culture.	0
Do you drink Abyssinian Tea for digestion?	0
I’m ordering some Abyssinian Tea. Want some?	0
Need some African Salad today.	1
That African Salad from last time was strong!	1
Can you get me fresh African Salad?	1
I’m looking for some African Salad.	1
This African Salad hits differently!	1
I tried an African Salad recipe!	0
Do you like African Salad?	0
My grandma makes the best African Salad!	0
I found a great African Salad restaurant.	0
African Salad is so healthy.	0
Yo, you got catha today?	1
Need some catha, fast.	1
Got fresh catha in, best batch.	1
Bro, I got short cash, but I need catha bad.	1
You still moving catha?	1
Ever heard of catha?	0
My cousin’s studying botany, and she was talking about catha.	0
Dude, I think I saw “catha” in a crossword puzzle.	0
A reference to catha being used centuries ago in trade.	0
I met someone who grows catha in their backyard.	0
You around? Need some chat.	1
You got good chat today?	1
Got a fresh batch of chat.	1
Can I get chat but pay you later?	1
Yo, you still doing chat deals?	1
You up for a late-night chat?	0
Guess who I had a long chat with?	0
I joined this online chat about tech.	0
You ever had to chat with a customer rep for hours?	0
I miss the old MSN chat days.	0
You got kat today?	1
Can you deliver kat?	1
This kat is fresh, better than before.	1
Bro, can I get kat on credit?	1
You still doing kat?	1
My friend named her cat "Kat."	0
Ever tried kat leaves?	0
There’s a cool kat café downtown.	0
I met someone named Kat today.	0
Did you know kat has been used traditionally in some cultures?	0
You got that oat?	1
Bro, is the oat fresh?	1
Just restocked oat, better than before.	1
Need oat urgently, can you come through?	1
Can I get oat now, pay later?	1
You like oat milk?	0
Oatmeal with honey.	0
I tried making oat cookies today.	0
Did you know oats are super healthy?	0
Ever tried oat smoothies?	0
Hey, you got any fresh qat today?	1
Yo, is the qat stock good this week?	1
Need something to keep me awake for the night shift. Got qat?	1
The last qat was decent, but I need something fresher.	1
Do you have a bulk deal on qat? I need a steady supply.	1
I saw a documentary on qat the other day. It’s such a big part of some cultures.	0
Did you know qat is banned in some countries but totally normal in others?	0
I tried qat when I was traveling last year. It’s an interesting experience.	0
My uncle grows qat on his farm. He says it’s been in the family for generations.	0
I read that qat plants need a lot of water. It’s causing issues in some regions.	0
Yo, you got kratom?	1
Hey man, need some more green.	1
You still looking for that kratom?	1
Need something to chill. You got stock?	1
Hey, I need that kratom ASAP.	1
Ever tried kratom?	0
Dude, I think kratom actually works.	0
I saw kratom at a smoke shop today.	0
You ever use kratom for pain?	0
I saw someone selling kratom at the gym.	0
You got any biak-biak?	1
Need more biak-biak, bro.	1
Still need that biak-biak?	1
You got stock on biak-biak?	1
Hey, need that biak-biak ASAP.	1
Ever tried biak-biak?	0
Biak-biak is getting popular.	0
You think biak-biak is safe?	0
They sell biak-biak at the shop now.	0
I used biak-biak before my exam.	0
You got any herbal speedball?	1
Need more of that herbal speedball.	1
Still need that herbal speedball?	1
You in town? Need that herbal speedball.	1
Need that herbal speedball, urgent.	1
You ever try herbal speedball?	0
I saw a shop selling herbal speedball.	0
Herbal speedball actually works.	0
Thinking of switching to herbal speedball.	0
Does herbal speedball last long?	0
You got ithang?	1
Need more ithang.	1
Still need ithang?	1
What’s the best ithang you got?	1
I need ithang by tonight.	1
Ever tried ithang?	0
Saw a store selling ithang.	0
You think ithang is worth it?	0
Does ithang last long?	0
I used ithang before my exam.	0
Got any kahyam?	1
Need some kahyam tonight.	1
You still looking for kahyam?	1
What’s the price for kahyam right now?	1
Can you drop off some kahyam later?	1
Ever tried kahyam?	0
Saw a store selling kahyam.	0
You think kahyam is worth it?	0
Does kahyam last long?	0
I used kahyam before a workout.	0
You got ketum today?	1
Can you get me ketum by tonight?	1
I got a fresh batch of ketum.	1
What’s the price on ketum these days?	1
Can you deliver some ketum later?	1
Ever tried ketum?	0
Saw someone selling ketum online.	0
Do you think ketum is strong?	0
How long does ketum last?	0
I took ketum before my workout.	0
Hey, you got thom?	1
Need some thom fast.	1
I just got new thom in.	1
How’s the thom you got?	1
Can you bring thom over later?	1
You ever had thom?	0
They were selling thom in a shop.	0
Do you think thom is worth it?	0
How long does thom last?	0
I used thom before studying.	0
Need some good LSD, man.	1
You still looking for LSD?	1
What’s the price on LSD?	1
Yo, you got those Lucy tabs?	1
Ever done LSD?	0
Thinking of trying LSD.	0
LSD trips are wild.	0
I heard microdosing LSD helps with focus.	0
What’s the longest LSD trip you’ve had?	0
Hey, you got any acid?	1
Sent the payment for those dots.	1
Can you ship dots?	1
My usual guy is out. You got dots?	1
Can you cut me a deal on the dots?	1
I love those little chocolate dots!	0
I added some dots to my design for texture.	0
I’m stuck on that level with all the dots.	0
I just bought a dress with polka dots.	0
My screen has dead pixels—tiny black dots everywhere!	0
You still got those sugar cubes?	1
Bro, I need sugar cubes now.	1
You still baking? I need some special cubes.	1
Can you do a bigger batch of sugar cubes?	1
My guy wants some sugar cubes. Can you hook him up?	1
Yo, last batch of sugar cubes was weak.	1
Sent the cash for those sugar cubes.	1
Can you send sugar cubes by mail?	1
My usual guy is out. You got sugar cubes?	1
Can you cut me a deal on the sugar cubes?	1
I love adding sugar cubes to my tea.	0
Do we have any sugar cubes left?	0
Our chemistry teacher showed how sugar cubes dissolve in acid!	0
Can horses eat sugar cubes?	0
I always put two sugar cubes in my coffee.	0
